dividend_eop,price_mid,volume_mid,agent_cash_bop,total_asset_endowment_bop
0.69999999999999996,3.295795770856701,0.29663319152834478,3.0,3.0
1.95,1.6628444271706821,0.1932444731438796,2.1000000000000001,3.0000000000000004
0.69999999999999996,13.075350666275178,0.086278800069424011,5.8499999999999996,3.0
1.3,1.7373141458563248,0.19810480079435377,2.0999999999999996,2.9999999999999991
1.0,6.1086972517594065,0.12328381298019808,3.8999999999999995,2.9999999999999996
1.0,3.702669705563537,0.15213127443589336,3.000000000000008,3.000000000000008
1.0,3.7934171312910325,0.1512054700380977,3.000000000000008,3.000000000000008
1.3,3.8864722951330286,0.14951790387889785,3.000000000000004,3.000000000000004
0.69999999999999996,6.697589396494786,0.11910336959840684,3.8999999999999728,2.9999999999999787
1.0,2.003888939324424,0.18931745656766874,2.099999999999985,2.9999999999999791
1.0,4.18706294710456,0.14001642240473278,2.9999999999999725,2.9999999999999725
1.0,4.285043362444048,0.135873201002292,2.999999999999972,2.999999999999972
0.69999999999999996,4.383054961979708,0.13133236290287381,2.9999999999999725,2.9999999999999725
1.3,2.210610686384913,0.16552694989189315,2.0999999999999805,2.9999999999999725
1.3,7.755791970252637,0.096871988838407641,3.8999999999999657,2.9999999999999729
1.0,7.885779887866879,0.093409234577035649,3.8999999999999648,2.9999999999999734
0.69999999999999996,4.760186069398814,0.11111947494578317,2.9999999999999729,2.9999999999999729
1.3,2.3918774801907206,0.13843850345922959,2.0999999999999814,2.9999999999999734
1.0,8.371057525509631,0.07972313691647781,3.899999999999967,2.9999999999999742
0.69999999999999996,5.040388000322033,0.094274402568125637,2.9999999999999742,2.9999999999999742
1.3,2.5241790318874253,0.11665870266072897,2.0999999999999894,2.9999999999999853
0.69999999999999996,8.815578833010719,0.066511675973938394,3.899999999999991,2.9999999999999929
0.69999999999999996,2.6062958511433387,0.10265260785420968,2.0999999999999952,2.9999999999999929
1.0,2.653888099115812,0.094427915039258709,2.0999999999999948,2.9999999999999929
1.0,5.485624906908221,0.066048892781760016,2.9999999999999933,2.9999999999999933
0.050000000000000003,5.551882677917138,0.061785334138519554,2.9999999999999933,2.9999999999999933
1.0,0.01454169601864429,0.23628999957894711,0.14999999999999969,2.9999999999999938
0.69999999999999996,5.865285442471735,0.041627023708941474,3.0000000000329914,3.0000000000329914
1.0,2.9034742422834054,0.05082021257881153,2.1000000000230941,3.0000000000329923
1.95,5.967544601812125,0.035088036899560845,3.0000000000329927,3.0000000000329927
1.3,22.776900346114875,0.01855347311409164,5.8500000000643348,3.0000000000329927
0.050000000000000003,10.17494318438881,0.025216208054442635,3.9000000000428905,3.0000000000329923
1.3,0.015429350336596849,0.12134235022473634,0.15000000000164965,3.0000000000329927
1.3,10.465790933896384,0.016543775648434129,3.900000000042712,3.0000000000328551
1.0,10.499371792157477,0.015550122087046488,3.9000000000427115,3.0000000000328551
1.0,6.235907210491767,0.018109217312911992,3.0000000000328555,3.0000000000328555
0.69999999999999996,6.257544575587954,0.016754321265212063,3.0000000000328404,3.0000000000328404
1.0,3.079163834442483,0.020373364655530656,2.1000000000229795,3.000000000032828
1.0,6.302241639963584,0.013963005840177553,3.0000000000328071,3.0000000000328071
0.69999999999999996,6.319169239539276,0.012908605455847107,3.0000000000327978,3.0000000000327978
1.0,3.106518996635463,0.01568886602098914,2.1000000000229524,3.0000000000327898
1.3,6.3540416780730675,0.010741288224414305,3.0000000000327756,3.0000000000327756
1.0,10.75628012268077,0.0080066595614607002,3.9000000000426014,3.0000000000327702
1.0,6.3770527507772234,0.0093147990904182756,3.0000000000327702,3.0000000000327702
0.69999999999999996,6.3885299696427245,0.008604412764703244,3.0000000000327658,3.0000000000327658
1.3,3.1372314890106994,0.010451907037691034,2.1000000000229337,3.0000000000327627
1.0,10.833317337340562,0.0057659227767294652,3.900000000042581,3.0000000000327547
1.0,6.419259299885118,0.0067060813273746751,3.0000000000327547,3.0000000000327547
1.0,6.427597544859622,0.006191911734406981,3.0000000000327511,3.0000000000327511
0.69999999999999996,6.435310249858799,0.0057166736809822396,3.000000000032748,3.000000000032748
0.69999999999999996,3.1579002438878945,0.0069416903725674113,2.1000000000229213,3.0000000000327458
1.3,3.1620420476726316,0.0062396945080321307,2.1000000000229173,3.0000000000327396
0.050000000000000003,10.913703225726223,0.0034388082196224502,3.9000000000425548,3.0000000000327343
1.0,0.016201103234462194,0.016626196481540949,0.15000000000163669,3.0000000000327338
0.69999999999999996,6.48414844685564,0.0027154867791485118,3.0000000000327769,3.0000000000327769
1.0,3.1794398205427186,0.0032962262788105816,2.1000000000229426,3.000000000032776
1.3,6.491731071311706,0.0022507939861105691,3.000000000032772,3.000000000032772
1.3,10.974899374644307,0.0016749514823410847,3.9000000000426014,3.0000000000327707
1.3,10.978533346463868,0.0015704227475362292,3.9000000000426023,3.0000000000327707
1.3,10.981942117719932,0.0014723936270064344,3.9000000000426018,3.0000000000327702
1.0,10.985139500245843,0.001380462866632585,3.9000000000426023,3.0000000000327711
1.0,6.502282866309349,0.0016047152325104697,3.0000000000327716,3.0000000000327716
0.69999999999999996,6.50431377938605,0.0014804411675186546,3.0000000000327711,3.0000000000327711
0.69999999999999996,3.1883221802548958,0.0017967987950451457,2.1000000000229391,3.0000000000327698
1.95,3.1894080224640886,0.0016136556828146441,2.1000000000229369,3.0000000000327671
0.69999999999999996,24.753727022720344,0.00062596117609181861,5.8500000000638899,3.0000000000327645
1.0,3.1907621954591194,0.0013853030177000633,2.1000000000229351,3.0000000000327645
1.0,6.513059467591205,0.00094556788523836787,3.0000000000327618,3.0000000000327618
1.0,6.514258904479117,0.00087224840158721785,3.0000000000327613,3.0000000000327613
0.69999999999999996,6.515365617736906,0.00080460473248575391,3.00000000003276,3.00000000003276
1.3,3.1931874604940313,0.00097646774655465031,2.1000000000229311,3.0000000000327591
1.0,11.014488479542988,0.00053749855617210378,3.9000000000425827,3.000000000032756
0.69999999999999996,6.518308743925092,0.00062475362893492739,3.0000000000327565,3.0000000000327565
1.0,3.194482761023017,0.00075818533982765384,2.1000000000229284,3.0000000000327556
0.69999999999999996,6.520065114050754,0.00051744905652265755,3.0000000000327534,3.0000000000327534
1.0,3.1952556911537733,0.00062795568881829594,2.1000000000229262,3.0000000000327516
1.3,6.521520323198879,0.00042855805876658632,3.0000000000327489,3.0000000000327489
0.69999999999999996,11.022111607691064,0.00031880515365492659,3.9000000000425739,3.0000000000327494
1.0,3.196089316125766,0.00048751943315917948,2.1000000000229244,3.0000000000327494
1.0,6.523089733774181,0.00033270563142835555,3.0000000000327458,3.0000000000327458
1.0,6.523512661519313,0.00030687771774112803,3.0000000000327445,3.0000000000327445
1.0,6.523902792285586,0.00028305366543309189,3.000000000032744,3.000000000032744
1.0,6.524262665427911,0.00026107817770121549,3.0000000000327436,3.0000000000327436
1.3,6.524594624280166,0.00024080796718821016,3.0000000000327431,3.0000000000327431
1.0,11.026982264723774,0.00017913113909195672,3.9000000000425654,3.0000000000327427
1.0,6.525128624383078,0.00020820204689994399,3.0000000000327427,3.0000000000327427
1.95,6.525393400096341,0.00019203555286919402,3.0000000000327418,3.0000000000327418
1.95,24.813336120135155,0.00010065019248844639,5.8500000000638464,3.0000000000327418
1.0,24.81384056601453,9.620887940744717e-05,5.8500000000638446,3.0000000000327414
1.0,6.52588800832815,0.00016183725446497434,3.0000000000327414,3.0000000000327414
0.69999999999999996,6.5260938538084305,0.00014926980397745763,3.0000000000327414,3.0000000000327414
1.95,3.197908394670895,0.00018114051261347862,2.1000000000229186,3.0000000000327409
1.3,24.816790135748604,7.0241266588852306e-05,5.8500000000638384,3.0000000000327378
0.050000000000000003,11.02990661210153,9.5291763558820182e-05,3.9000000000425596,3.0000000000327383
1.0,0.01631801995994486,0.00046112057217607239,0.15000000000163691,3.0000000000327387
0.050000000000000003,6.527311361487501,7.4942824455109097e-05,3.0000000000326761,3.0000000000326761
0.69999999999999996,0.016319270911003814,0.00028778802245637235,0.15000000000163374,3.0000000000326743
1.0,3.19861869533164,6.1534483009869389e-05,2.1000000000228263,3.000000000032609
1.0,6.527851185471245,4.1990309022421309e-05,3.0000000000326055,3.0000000000326055
0.69999999999999996,6.5279046163125924,3.872882355250832e-05,3.0000000000326041,3.0000000000326041
